KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
IFT27	8.397	5.953	10.071	6.713	7.177	8.401	5.63	8.171	2.61	4	2.828	2.181	2.493	8.402	9.634	9.245	7.322	8.433	4.317	2.944	4.488	3.616	4.727	2.727	3.584
IFT43	13.48	6.583	16.018	10.205	8.665	11.769	9.779	13.493	4.626	5.495	6.003	5.8	5.354	12.348	15.263	13.006	13.236	15.241	5.755	7.838	7.582	5.662	5.582	4.015	4.138
IFT46	11.579	7.414	17.771	11.037	7.833	12.566	10.531	15.78	4.995	6.767	6.418	5.688	5.171	12.835	13.69	19.397	16.022	15.369	5.279	9.038	7.624	6.696	9.056	4.932	7.276
IFT52	13.076	8.4	20.516	9.045	7.841	13.101	11.342	12.904	4.965	5.25	5.443	5.107	6.392	12.862	15.457	17.055	13.978	18.317	8.523	8.629	7.753	9.442	7.184	5.216	6.732
IFT57	11.356	7.667	22.056	11.333	8.613	10.95	10.934	16.009	6.871	10.67	9.616	9.42	9.038	18.863	23.448	20.299	20.057	34.895	6.319	9.285	7.736	8.862	7.528	5.83	8.751
IFT74	15.129	10.463	18.075	16.961	9.192	15.564	13.456	21.352	8.627	9.37	10.171	5.63	5.396	15.909	13.365	18.353	13.901	17.22	6.042	7.128	6.252	6.727	6.114	5.835	8.361
IFT80	22.642	17.115	29.466	22.077	17.516	23.296	22.318	33.366	13.446	11.499	16.382	9.627	8.237	20.51	27.591	23.277	21.449	26.999	12.175	8.875	11.388	14.308	10.929	7.822	12.713
IFT81	7.408	4.467	11.102	6.41	4.238	7.149	5.447	7.205	2.851	3.622	4.388	2.495	3.638	6.928	7.69	8.647	6.258	9.71	5.055	3.614	3.22	5.642	2.94	3.006	3.332
IFT88	8.464	7.409	10.444	11.837	5.287	9.854	8.13	16.795	4.197	3.576	5.745	3.774	3.747	6.778	7.282	9.746	10.1	11.683	6.391	5.803	4.924	4.424	5.806	2.502	5.278
IGBP1	14.819	9.001	22.966	10.78	14.426	14.914	16.871	17.598	7.937	10.082	7.765	10.992	8.055	28.08	30.463	24.747	32.918	33.842	13.742	12.748	9.699	8.501	10.246	9.075	9.224
IGDCC3	0.308	0.129	0.07	0.015	0.031	0.036	0.083	0.114	0	0	0.003	0.003	0.005	0.073	0.03	0.061	0.128	0.051	0.076	0.079	0.079	0.12	0.039	0	0.029
IGDCC4	2.408	1.451	1.003	0.313	0.515	0.342	0.831	0.37	0.097	0.285	0.442	0.754	0.939	0.481	2.455	1.255	1.214	2.58	0.516	0.814	0.934	1.437	0.372	0.194	0.376
IGF1	1.869	1.709	0.571	0.347	1.714	2.221	0.868	0.805	0.607	0.842	1.338	0.482	0.86	2.56	2.132	2.287	2.529	3.463	0.884	0.54	2.456	1.803	0.15	0.428	1.455
IGF1R	46.689	33.262	89.576	52.362	44.89	58.018	34.369	64.68	12.703	13.92	14.465	20.151	15.878	55.546	58.295	41.967	38.533	78.122	20.12	24.29	29.158	24.553	29.64	11.522	16.051
IGF2	14.392	2.901	6.324	0.641	2.09	0.383	4.031	1.025	0.272	7.205	3.835	0.026	1.523	2.16	5.674	11.386	8.177	26.581	0.925	4.958	2.407	4.366	0.199	0.285	0.462
IGF2BP1	1.021	0.279	0.45	0.088	0.213	0.067	0.166	0.087	0	0.043	0.071	0.032	0.01	0.142	0.176	0.347	0.226	0.62	0.226	0.241	0.079	0.096	0.011	0.08	0.057
IGF2BP2	7.424	5.762	38.667	8.47	9.657	13.234	12.567	4.91	1.668	12.099	4.263	16.169	15.895	36.966	33.491	9.413	12.658	28.064	13.094	5.752	11.895	8.509	23.149	4.48	3.349
IGF2BP3	4.466	0.592	8.611	1.58	1.327	0.61	5.957	1.358	1.719	1.464	0.854	2.192	2.421	2.453	3.924	5.504	1.476	7.104	2.268	1.756	3.242	5.514	0.797	1.439	1.132
IGF2R	37.31	23.77	52.314	31.97	25.118	41.775	35.205	41.347	9.589	9.133	10.505	19.724	14.617	44.773	40.626	37.427	34.35	59.731	23.499	22.478	17.037	14.994	24.898	10.016	12.03
IGFALS	0.037	0.016	0.093	0.011	0.004	0.015	0	0.006	0.014	0.02	0.018	0.021	0.029	0.155	0.146	0.099	0.038	0.169	0.006	0.063	0.061	0.063	0.029	0.043	0.042
IGFBP1	0.015	0	0	0.009	0	0	0.023	0	0	0.605	0	0.024	0.017	0.071	0	0	0.052	0.026	0.115	0	0.012	0	0.012	0.012	0.036
IGFBP2	159.111	85.815	311.056	91.912	60.727	138.433	114.54	104.248	65.273	62.168	80.314	33.31	64.421	249.382	143.177	314.234	280.829	306.769	35.73	129.399	78.116	53.994	76.968	49.57	86.761
IGFBP3	29.562	4.555	28.635	3.85	4.847	3.535	16.436	1.468	4.326	5.039	10.568	13.31	13.744	56.297	43.608	46.789	23.449	107.225	38.136	10.679	4.342	25.14	2.021	15.254	6.436
IGFBP4	5.433	20.39	6.54	0.459	6.041	1.449	3.224	0.466	1.256	1.976	13.765	7.236	7.325	8.588	38.277	30.354	28.93	54.669	5.263	4.353	12.112	14.376	0.963	4.968	13.157
IGFBP5	18.67	2.528	28.597	1.619	8.868	5.678	2.442	1.656	1.183	6.541	1.153	1.54	2.349	11.322	17.453	9.076	23.986	27.487	4.444	4.043	6.675	8.466	3.125	8.486	24.59
IGFBP6	288.475	139.587	460.244	323.855	99.871	300.606	236.707	423.208	95.994	64.654	86.585	24.714	25.696	847.112	115.438	509.625	429.528	343.693	55.117	110.224	99.596	54.033	156.628	87.436	112.572
IGFBP7	272.882	89.541	598.016	121.004	115.928	118.828	187.149	181.8	47.53	37.064	126.535	79.635	53.111	144.295	249.783	312.501	227.562	304.143	70.707	132.229	83.348	102.39	58.932	35.787	52.191
IGFBPL1	1.26	1.378	1.28	1.806	0.368	2.006	0.77	2.68	0.689	0.17	0.528	0.132	0.125	0.584	0.297	1.62	0.504	0.881	0.063	0.919	0.705	0.153	1.142	0.126	0.69
IGFL1	0.135	0.245	6.595	0.188	0.119	0.141	0.118	0.342	0.029	0.016	0	0.148	2.695	0	0.106	0.06	0.082	0.951	0.151	0	0.058	0.02	0.26	0.056	0.143
IGFL2	3.612	0.865	35.128	1.227	0.914	1.039	0.972	1.323	0.259	0.18	2.835	0.551	1.749	0.665	7.616	1.763	2.03	10.722	1.041	2.875	0.588	1.09	1.034	0.346	0.837
IGFL3	0.912	0.074	3.984	0.426	0.655	0.282	0.394	0.951	0.037	0.085	0.193	0.098	0.11	0.336	2.452	0.228	2.756	2.934	0.295	0.262	0.195	1.191	0.219	0.157	0.601
IGFL4	3.937	1.545	10.901	1.025	1.58	1.176	1.277	2.353	0.221	0.486	0.845	0.558	0.573	0.458	0.813	1.679	0.719	2.695	0.921	2.17	0.621	1.001	1.003	0.305	0.966
IGFLR1	0.265	0.337	0.444	0.312	1.324	0.071	0	0.165	0.072	0.704	0.545	3.898	2.914	2.282	3.126	0.638	1.004	1.398	1.413	0.252	1.392	0.366	0.351	0.538	1.428
IGFN1	0.008	0	0	0	0	0.039	0.002	0.017	0.001	0.001	0.003	0.047	0.007	0.006	0.002	0.052	0.005	0.792	0.093	0	0	0	0	0.013	0
IGHMBP2	7.547	3.77	9.095	7.442	4.033	7.164	4.284	6.559	2.406	1.562	2.052	2.534	4.371	7.129	7.442	5.921	7.062	9.287	3.097	4.052	3.43	1.807	5.415	1.694	1.888
IGIP	6.095	5.502	7.022	6.889	4.896	9.178	4.815	11.669	3.708	3.574	4.162	1.434	1.66	5.085	6.628	5.829	4.704	5.895	3.234	1.639	3.249	3.548	2.841	2.342	3.187
IGJ	0.551	0.242	0.702	0.036	79.196	0.215	0.124	0.219	0	0.462	0.237	36.006	8.011	0.543	2.203	0.17	0.712	2.15	6.053	2.225	46.504	0.433	0	0	5.115
IGLL1	0	0.013	0.046	0	0.023	0	0	0.021	0	0	0	0	0.018	0	0	0	0	0	0	0.043	0	0	0	0.01	0
IGLL5	0.097	0	0.062	0.011	275.602	0.06	0	0.042	0	0.179	0.011	3.125	1.936	0	0.17	0	0.603	0	0.225	11.584	21.33	0.024	0	0	4.208
IGLON5	0.07	0.033	0.148	0.032	0.038	0.071	0.093	0.068	0.013	0.019	0.05	0.129	0.081	0.107	0.2	0.034	0.241	0.155	0.169	0.037	0.075	0.053	0.005	0.033	0.017
IGSF1	0.031	0.408	0.016	0.229	0.099	0.124	0.021	0.28	0.016	0	0.032	0.009	0.009	0.016	0.034	0.014	0.062	0.046	0.296	0.006	0.036	0.021	0.114	0.008	0.021
IGSF10	0.972	0.764	1.154	0.216	0.219	0.574	0.284	0.376	0.126	0.313	0.139	0.125	0.107	0.736	0.608	0.378	0.622	1.151	0.141	0.059	0.276	0.686	0.142	0.108	0.166
IGSF11	1.231	1.048	4.904	0.989	0.677	1.272	1.135	1.718	0.568	0.435	0.444	0.2	0.06	0.362	0.252	0.403	0.387	0.487	0.31	0.53	0.395	0.698	0.461	0.193	0.105
IGSF21	0.066	0.258	0.263	0.055	0.646	0.12	0.14	0.07	0.095	0.611	0.095	1.043	0.245	0.793	1.081	0.242	0.567	0.837	0.196	0.244	0.157	0.223	0.069	0.158	1.287
IGSF22	0.058	0.076	0.051	0.021	0.034	0.083	0.085	0.055	0.005	0.028	0.033	0.019	0.017	0.127	0.061	0.076	0.052	0.044	0.03	0.039	0.033	0.07	0.02	0.019	0.043
IGSF23	0.03	0.024	0.047	0.017	0.014	0	0.034	0.016	0	0.013	0.021	0	0	0.028	0.04	0	0	0	0	0	0	0.023	0	0	0.016
IGSF3	15.673	8.317	27.321	9.172	7.935	9.294	8.949	13.777	2.761	3.224	4.102	4.847	6.418	18.069	15.197	17.308	21.576	32.146	5.221	10.891	8.018	5.904	5.6	3.224	6.04
IGSF5	3.67	1.422	1.593	1.637	1.728	2.412	2.801	1.503	1.362	0.671	1.419	0.358	0.527	0.696	1.473	2.1	0.765	0.34	0.524	1.043	0.366	1.026	0.353	1.075	0.667
IGSF6	1.385	1.619	3.266	0.983	5.826	1.355	1.435	1.529	0.707	1.319	1.419	8.814	9.775	12.511	6.719	1.977	1.921	8.538	22.552	0.572	1.157	1.724	1.531	1.112	8.222
IGSF8	6.987	4.597	8.81	8.269	4.816	8.567	3.919	7.659	3.709	2.379	2.09	2.963	2.108	10.938	7.742	9.936	9.683	13.583	1.58	5.38	4.236	2.795	7.31	2.423	3.717
IGSF9	6.256	4.047	4.707	4.417	2.411	5.511	3.001	4.924	1.578	1.338	1.652	0.743	1.275	6.349	3.476	6.915	5.443	5.589	0.719	2.365	2.054	1.341	3.137	1.026	2.054
IGSF9B	1.932	0.531	3.392	0.517	1.726	1.276	0.527	1.319	0.321	0.161	0.244	0.163	0.329	0.293	1.391	0.486	0.646	2.231	0.662	0.649	0.496	0.255	0.313	0.182	0.149
IHH	0.014	0.007	0	0.009	0.015	0.024	0.037	0	0.004	0.025	0.006	0	0.01	0.023	0.011	0.045	0.06	0.031	0.005	0.109	0.012	0	0.022	0.007	0.013
IK	32.949	22.446	47.746	37.312	25.355	38.761	34.061	43.854	23	18.966	15.618	19.903	18.098	51.597	40.566	57.928	44.459	54.932	19.138	23.331	24.396	20.835	30.282	21.517	24.582
IKBIP	4.974	4.361	11.341	2.802	4.215	4.785	7.306	5.338	2.042	4.075	5.074	4.799	4.669	13.816	21.802	11.067	16.664	18.948	7.9	3.478	2.677	5.074	1.237	1.969	2.725
IKBKAP	10.151	7.996	17.176	11.265	8.171	14.916	9.861	16.33	5.99	6.055	6.383	5.868	4.674	12.861	14.599	10.197	12.952	12.897	5.43	8.044	8.093	5.771	11.137	3.804	7.139
IKBKB	25.645	15.911	38.384	24.959	20.774	28.983	18.882	26.718	8.958	11.174	11.035	12.569	14.108	30.835	28.237	22.622	23.444	34.28	13.985	14.3	16.858	11.379	17.011	8.068	10.408
IKBKE	4.979	2.629	8.523	5.389	4.599	5.879	3.69	4.148	2.828	2.376	0.988	4.011	2.669	11.744	8.769	7.599	9.807	11.761	5.804	2.876	3.813	2.726	1.666	2.487	2.349
IKBKG	8.379	5.992	9.214	8.224	6.159	8.677	5.563	8.34	2.4	2.788	2.125	3.115	2.749	11.168	8.933	8.682	13.564	13.461	3.106	5.095	5.587	2.897	7.064	2.442	3.696
IKZF1	0.918	1.534	2.065	0.215	6.143	0.54	1.05	0.898	0.414	4.299	1.092	12.049	7.302	5.743	7.079	0.902	1.449	6.861	8.32	0.81	1.885	1.19	0.22	1.905	2.747
IKZF2	36.419	34.172	64.873	59.661	35.836	63.584	50.286	68.96	34.981	33.871	27.509	21.651	17.639	81.38	45.364	55.657	55.265	70.412	26.995	32.459	36.689	34.289	57.703	29.404	27.637
IKZF3	0.352	0.491	0.415	0.185	1.942	0.289	0.289	0.348	0.19	1.127	0.325	4.41	1.47	1.659	3.027	0.133	0.33	1.093	1.874	0.253	1.122	0.323	0.113	0.754	0.661
IKZF4	2.721	1.257	3.454	1.979	1.989	3.109	1.631	2.012	0.525	0.632	0.718	0.716	0.637	1.274	1.367	1.459	1.574	2.438	1.147	0.553	0.836	1.237	0.994	0.518	0.595
IKZF5	4.129	3.271	4.873	6.301	3.832	5.698	3.074	9.443	3.098	2.22	2.865	1.647	1.093	6.347	6.756	5.98	5.398	6.093	2.391	2.83	2.241	2.986	3.243	2.684	1.884
IL10	0.209	0.355	0.78	0.038	0.611	0.123	0.226	0.057	0.041	0.189	0.409	1.738	1.877	0.882	1.823	0.118	1.082	1.284	1.927	0.241	0.307	0.243	0.055	0.034	0.762
IL10RA	1.245	2.795	1.986	0.38	9.683	0.619	1.318	0.633	0.55	2.941	1.284	15.181	12.14	10.477	13.683	1.46	3.868	8.169	22.082	0.968	4.199	2.117	0.196	2.229	6.927
IL10RB	11.053	7.158	21.304	10.581	9.161	10.003	10.659	9.216	6.806	6.302	5.057	8.434	9.505	22.371	31.13	22.209	21.828	23.908	14.879	6.753	7.83	9.3	5.455	7.004	7.826
IL11	0.775	0.202	3.812	0.044	0.208	0.057	0.461	0.118	0.144	0.155	1.253	2.063	0.668	1.605	5.606	1.503	3.325	3.624	2.815	1.38	0.194	0.578	0.037	0.114	0.164
IL11RA	4.045	3.72	4.751	2.566	2.169	5.376	2.323	2.202	0.812	2.14	1.318	0.862	1.274	4.814	5.24	7.106	3.727	5.997	1.111	1.742	2.606	2.318	1.321	1.412	2.546
IL12A	0.031	0.05	0.083	0.03	0.045	0.015	0.054	0.078	0.045	0.025	0.101	0.02	0.356	0.093	0.234	0	0	0.095	0.034	0.056	0.045	0.024	0.03	0.059	0.022
IL12B	0.023	0.02	0.024	0.009	0.021	0.038	0.036	0.083	0.014	0.046	0.006	0.041	0.042	0.055	0.042	0.009	0.016	0.104	0.207	0.021	0	0.006	0.024	0.01	0.026
IL12RB1	0.222	0.159	0.367	0.126	0.882	0.175	0.18	0.155	0.055	0.29	0.169	2.433	0.836	1.15	1.724	0.153	0.517	0.938	1.453	0.141	0.196	0.124	0.077	0.393	0.461
IL12RB2	0.23	0.269	1.309	0.318	2.57	0.358	0.126	0.319	0.147	0.761	0.089	9.181	1.444	3.266	12.539	0.345	1.299	1.09	2.292	0.772	0.361	0.316	0.19	0.246	0.136
IL13	0.028	0.02	0.116	0.039	0.047	0.009	0.019	0.04	0.017	0.037	0.021	0.055	0	0.064	0	0.018	0.283	0.108	0.062	0.03	0.025	0.029	0.008	0.007	0.04
IL13RA1	14.011	13.359	34.272	9.561	26.933	13.788	13	10.26	6.299	15.799	13.029	24.981	27.497	41.471	50.033	25.778	44.546	50.508	40.116	13.868	11.596	20.623	5.101	11.681	17.697
IL13RA2	0.104	0.044	0.214	0.148	0.128	0.126	0.175	0.306	0.012	0.076	0.151	0.209	0.261	0.171	0.396	0.544	0.61	1.309	0.068	0.184	0.071	0	0.081	0.047	0.063
IL15	1.601	1.39	7.511	1.688	7.672	2.041	2.916	0.965	0.711	1.648	2.257	6.709	4.424	8.074	15.516	1.711	3.936	8.534	9.634	0.889	1.006	1.625	0.232	1.276	1.844
IL15RA	1.26	0.803	2.495	1.22	7.135	1.32	0.91	0.258	0.75	3.333	0.884	7.708	2.812	8.806	15.092	2.301	6.245	5.403	4.806	0.999	1.89	2.725	0.45	2.169	1.083
IL16	4.341	5.317	5.203	0.589	3.535	1.474	2.55	1.27	0.439	1.214	1.833	4.836	4.474	4.534	5.822	5.101	4.816	6.271	3.736	1.942	2.664	2.848	0.545	1.617	3.576
IL17A	0	0	0.01	0	0	0	0	0.031	0	0	0.01	0.01	0.009	0.017	0	0	0	0	0.685	0	0	0	0	0	0
IL17B	0.033	0.094	0.077	0.053	0.145	0.183	0.043	0.186	0.025	0.068	0.053	0.09	0.03	0.045	0.087	0.143	0.034	0.062	0.125	0.027	0	0	0.139	0.078	0.058
IL17C	0.018	0	0.013	0	0.036	0	0.018	0.013	0	0.009	0.011	0.063	0.039	0.069	0.088	0.07	0.136	0.281	0.041	0.078	0.022	0	0	0.037	0
IL17D	1.108	0.77	1.35	0.925	0.265	1.078	0.572	1.907	0.383	0.226	0.375	0.06	0.202	1.009	0.595	2.305	1.828	1.816	0.113	0.702	0.221	0.448	0.683	0.253	0.843
IL17F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386	0	0	0	0	0	0
IL17RA	4.148	2.75	5.369	3.985	4.339	4.928	3.154	3.17	1.696	2.134	1.084	3.852	5.06	8.801	7.783	4.51	4.182	11.045	6.757	2.009	2.147	2.185	3.547	1.451	3.224
IL17RB	0.447	0.297	0.624	0.467	0.616	0.484	0.429	0.938	0.199	0.408	0.184	0.035	0.2	0.771	0.428	0.586	0.514	0.436	0.211	0.155	0.174	0.287	0.33	0.222	0.217
IL17RC	11.372	6.919	21.221	10.868	7.98	10.44	8.939	8.617	3.943	4.754	3.834	5.657	4.619	15.349	18.246	16.725	13.504	21.665	4.684	6.246	7.816	5.807	7.643	5.397	5.646
IL17RD	2.023	3.79	3.553	0.775	0.992	2.469	1.905	1.018	0.82	0.849	1.128	0.592	0.694	3.034	2.64	4.304	2.34	5.911	0.512	2.253	1.12	1.687	0.957	1.892	1.928
IL17RE	8.449	4.175	10.639	6.258	4.593	6.806	4.123	5.799	1.608	1.852	1.597	0.812	2.432	5.631	4.852	7.529	3.976	6.147	1.81	2.643	2.806	2.126	2.333	1.533	0.8
IL17REL	0.017	0.015	0.033	0.005	0.02	0.018	0.028	0.01	0.005	0.005	0.003	0.026	0.011	0.03	0.029	0.024	0.064	0.062	0.01	0.031	0.018	0.01	0.024	0.005	0.002
IL18	126.568	78.204	147.15	90.1	66.972	79.708	218.182	114.559	55.008	41.007	64.539	46.396	28.492	145.889	108.795	206.1	129.184	192.057	51.935	78.561	49.696	36.538	40.593	41.999	48.341
IL18BP	1.137	0.484	1.574	0.74	1.714	1.066	0.707	0.796	0.114	0.297	0.274	2.207	1.64	3.297	5.55	1.075	1.851	2.163	2.358	0.557	0.78	0.435	0.413	0.296	0.71
IL18R1	5.979	3.582	6.889	4.365	5.873	4.459	5.111	4.847	1.885	2.769	3.614	3.487	2.061	6.633	5.608	4.092	3.999	6.472	5.186	3.303	3.742	1.729	1.564	2.009	2.075
IL18RAP	0.554	0.461	0.775	0.618	1.271	0.361	0.359	0.464	0.062	1.546	0.74	3.107	2.243	2.737	3.142	0.497	0.385	0.68	2.345	0.353	0.95	0.485	0.06	0.965	0.448
IL19	0.185	0.022	0.198	0.008	0.045	0.04	0.049	0.036	0.137	0.043	0.032	0.179	0.102	0.235	1.103	0.703	0.089	0.667	1.009	0.041	0.065	0.293	0.18	0.608	0
IL1A	1.078	0.919	3.886	0.787	1.08	1.17	3.764	0.887	0.897	1.21	2.23	12.662	4.31	70.808	2.222	3.677	6.732	72.801	14.07	7.879	1.042	0.373	2.847	2.475	1.274
IL1B	1.686	1.007	4.199	1.271	5.005	1.527	3.949	2.346	0.395	0.834	0.6	20.172	8.283	5.477	12.669	1.339	2.314	26.798	154.516	1.537	0.704	0.631	0.608	1.18	2.951
IL1F10	0.17	0.147	0.304	0.251	0.065	0.147	0.447	0.233	0.136	0.154	0.01	0.107	0.153	0.253	0.197	0.389	0.229	0.156	0.13	0.196	0.255	0.037	0.201	0.132	0.038
IL1R1	7.514	7.518	19.131	3.118	9.524	4.677	4.678	3.951	1.904	4.011	7.378	13.56	10.503	8.696	45.363	11.235	17.424	34.455	12.737	4.764	7.557	10.084	2.273	4.149	5.45
IL1R2	1.748	2.657	2.291	6.252	3.058	6.276	0.578	1.028	1.49	2.182	1.072	1.958	7.256	1.686	2.424	1.026	0.897	8.509	3.759	0.275	1.656	0.414	0.604	0.229	2.531
IL1RAP	24.025	9.532	38.737	12.15	16.497	14.036	20.658	19.183	9.218	8.292	12.287	18.473	23.028	35.625	34.858	25.631	26.335	69.404	14.567	20.276	8.898	17.013	9.587	4.081	8.132
IL1RAPL1	0.056	0.003	0.109	0.003	0.014	0.011	0.014	0.015	0	0.016	0.023	0.023	0.029	0.017	0.008	0.015	0.025	0.035	0.004	0.048	0.014	0.014	0.014	0.008	0.02
IL1RAPL2	9.091	2.109	3.458	0.839	0.857	3	5.715	1.623	0.357	0.338	1.092	0.209	0.529	0.213	0.755	2.838	0.767	3.094	0.665	3.375	0.995	1.332	0.538	0.725	0.668
IL1RL1	0.405	2.494	0.197	0.112	1.003	0.104	0.102	0.427	0.027	0.122	0.14	0.364	1.059	0.014	0.158	0.6	0.148	2.388	0.672	0.244	0.46	0.26	0.062	0.061	0.406
IL1RL2	3.341	2.167	5.171	2.193	2.16	2.162	2.107	2.751	0.447	1.148	1.228	1.747	1.524	3.126	2.23	2.541	2.122	7.181	0.836	1.379	1.116	1.345	0.98	0.798	0.537
IL1RN	71.601	36.648	146.485	48.787	39.344	71.757	99.571	48.495	33.593	80.954	24.609	73.345	67.107	197.107	88.441	125.676	136.448	226.871	59.276	78.809	48.039	44.181	39.947	75.199	35.739
IL2	0.017	0	0.049	0	0	0	0	0.051	0	0.149	0	0.051	0.174	0.084	0	0	0	0	0.237	0.061	0.024	0	0	0.059	0
IL20	0.013	0	0.021	0	0.025	0	0.015	0.037	0	0	0	0.169	0.167	0.021	0.151	0	0.028	0.62	0.048	0.1	0.021	0	0	0	0
IL20RA	28.153	22.125	33.595	57.273	19.894	37.158	20.814	52.035	25.148	18.468	9.172	3.626	2.589	19.993	13.512	31.457	18.48	13.604	5.502	12.196	17.485	10.509	32.586	18.606	15.956
IL20RB	39.024	26.572	45.078	41.024	34.578	51.404	34.348	42.641	17.971	14.835	14.099	16.113	12.985	42.545	53.344	73.51	79.366	43.467	14.255	32.815	30.641	21.789	33.214	14.969	23.62
IL21	0	0	0	0	0.107	0	0	0.04	0	0	0.075	0.929	0.167	0.265	0.244	0	0	0	0.609	0	0.188	0	0	0	0.137
IL21R	0.328	0.154	0.457	0.145	1.872	0.22	0.136	0.168	0.042	0.234	0.076	2.672	1.655	2.367	2.813	0.127	0.799	1.688	1.624	0.479	0.392	0.23	0.069	0.226	1.184
IL22	0.013	0	0	0	0.02	0	0	0.036	0	0	0	0.066	0	0	0	0	0	0	0.427	0	0.033	0.017	0	0.058	0
IL22RA1	1.74	1.231	4.459	1.452	2.301	1.644	2.799	0.837	0.598	0.677	0.829	2.443	0.749	3.101	3.303	2.785	4.521	5.709	0.857	1.023	1.124	0.993	0.668	1.888	0.35
IL22RA2	0.023	0.016	0.008	0.033	0.017	0.024	0.025	0.106	0	0	0.014	0.218	0.1	0.136	0.05	0	0.01	0.019	0.113	0	0.008	0.016	0	0.018	0
IL23A	0.572	0.348	1.198	0.518	0.605	0.464	0.511	0.465	0.11	0.301	0.217	0.668	0.497	0.787	0.662	0.853	0.58	5.05	3.045	0.479	0.559	0.267	0.252	0.096	0.215
IL23R	1.32	1.619	1.174	1.795	1.166	1.975	0.825	2.702	0.739	0.866	0.701	0.41	0.245	1.324	0.374	1.94	0.609	0.846	0.99	1.797	0.685	0.537	1.68	0.629	0.852
IL24	0.074	0.046	0.176	0.015	0.576	0.008	0.03	0.043	0.008	0.581	0	1.763	0.523	0.308	0.226	0.067	0.131	3.949	0.787	0.051	0.154	0.021	0.012	0.012	0.875
IL25	0.014	0.012	0.021	0.015	0.018	0.032	0.014	0.022	0	0	0.009	0	0	0	0	0	0.028	0	0.008	0	0.018	0	0	0	0
IL26	0	0.065	0	0	0.144	0	0.016	0.071	0	0.214	0	0.38	0.061	0.428	0.187	0	0.029	0	0.434	0.055	0.113	0.024	0	0.093	0.017
IL27	0	0	0	0	0.104	0	0	0.027	0	0.03	0	0.216	0.191	0.158	0.634	0.335	0	0.175	0.226	0	0.044	0	0.021	0	0.086
IL27RA	0.168	0.117	0.629	0.018	0.542	0.076	0.078	0.076	0.033	0.154	0.104	0.8	1.348	0.88	1.169	0.337	0.471	1.207	1.214	0.118	0.166	0.265	0.008	0.136	0.584
IL2RA	0.061	0.061	0.386	0.044	1.587	0.151	0.071	0.053	0.029	0.369	0.089	9.189	3.35	1.511	2.222	0.433	0.394	2.744	10.658	0.013	0.26	0.196	0.011	0.209	1.095
IL2RB	0.64	0.524	0.312	0.221	1.058	0.141	0.258	0.233	0.255	0.371	0.271	4.041	1.193	1.608	3	0.438	0.751	1.262	3.516	0.273	0.507	0.404	0.082	0.472	0.728
IL2RG	0.373	0.557	1.166	0.247	3.494	0.202	0.633	0.279	0.244	1.294	0.59	6.766	4.498	5.633	8.432	0.774	0.616	4.133	10.569	0.45	1.249	0.675	0.021	1.425	2.528
IL3	0.149	0.104	0.05	0.145	0.098	0.157	0.134	0.231	0.024	0.041	0.047	0.078	0.043	0.03	0.146	0	0.022	0.041	0.069	0.019	0.096	0.101	0.016	0	0
IL31	0.077	0.048	0.085	0.06	0.172	0.147	0.031	0.133	0	0	0.02	0.059	0.018	0.15	0.036	0.063	0.278	0.052	0	0.216	0.02	0.042	0.118	0	0.044
IL31RA	4.754	3.64	8.795	3.74	0.982	1.922	4.434	5.251	0.751	0.142	1.277	1.014	0.336	0.502	1.617	3.283	0.917	1.658	1.415	2.096	1.609	0.45	2.109	0.508	1.101
IL32	0.899	1.205	9.375	0.253	7.403	0.591	0.622	0.479	0.449	2.744	2.788	45.589	11.037	16.847	34.596	1.215	10.538	11.394	18.346	1.191	3.731	2.24	0.259	3.297	7.274
IL33	1.557	1.431	1.145	0.663	1.606	1.277	0.805	1.408	0.091	0.719	0.23	0.994	3.983	1.22	4.276	1.736	3.209	3.81	3.391	0.266	0.951	0.763	0.116	0.369	0.459
IL34	0.592	0.316	2.284	0.65	0.434	0.318	0.214	0.304	0.261	0.672	0.236	0.32	0.41	1.691	1.832	1.139	0.756	1.776	0.272	0.418	0.719	1.345	0.341	0.479	0.551
IL36A	0.014	0	0.056	0	0	0	0	0.019	0	0	0	0.035	0.274	0	0	0	0.025	0.539	0.076	0.043	0	0	0	0	0
IL36B	0.04	0.02	0.108	0.025	0.021	0.139	0.091	0.149	0.014	0.029	0.018	0.071	0.176	0	0.123	0.056	0.094	0.087	0.087	0.022	0.125	0.038	0	0.107	0.014
IL36G	4.785	5.785	21.681	0.836	3.84	4.768	26.338	5.262	1.928	12.909	6.069	17.858	4.126	622.827	5.817	22.514	121.686	346.018	19.142	100.801	10.024	1.528	10.164	29.548	9.245
IL36RN	3.755	2.178	7.522	1.432	1.659	1.247	4.482	2.115	5.299	1.551	2.072	6.012	5.779	4.431	5.433	3.988	3.975	11.844	4.171	1.732	4.161	1.089	0.691	2.678	2.744
IL37	0.496	0.139	0.786	0.209	0.37	0.277	0.531	0.299	0.158	0.285	0.088	0.164	0.159	0.126	0.109	0.077	0.044	0.43	0.051	0.096	0.059	0.035	0.111	0.118	0.383
